file,Roi group,Roi tags,Roi name,16O mean,16O stddev,16O median,12C21H mean,12C21H stddev,12C21H median,12C15N mean,12C15N stddev,12C15N median,31P mean,31P stddev,31P median,32S mean,32S stddev,32S median,31P/32S mean,31P/32S stddev,31P/32S median
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,82,675.5,37.76771107705628,667.0,2199.9375,126.78825852577991,2201.0,78.3125,8.443686003951907,79.0,20.0625,5.881822279985458,20.0,98.375,12.996794476587935,97.0,2377.7386779785156,1019.8707154737908,2366.94677734375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,83,665.8695652173913,34.86966761824327,667.0,2026.0434782608695,87.70758399280574,2010.0,69.6086956521739,10.12911811642184,70.0,17.608695652173914,4.596995448089812,18.0,92.84782608695652,9.982133798396118,94.0,2200.739937160326,1226.9712991690078,2041.6666259765625
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,84,667.8857142857142,40.73119477431605,665.0,2103.7,107.38071912862061,2107.0,73.68571428571428,11.098430307007524,73.0,17.314285714285713,5.005917822988867,18.0,94.47142857142858,15.344093353084025,93.0,1946.2432146344865,1204.128512099072,1770.8333740234375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,85,848.9790048543689,62.10291933442396,847.0,4501.953883495145,310.80359189762294,4490.0,7.234466019417476,2.6855470735347517,7.0,0.1046116504854369,0.3215421250505239,0.0,9.089320388349515,3.0593565669888827,9.0,121.66262204068379,963.2640162052691,0.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,86,1396.8383838383838,112.39214395077249,1383.0,4417.535353535353,261.6029985290967,4396.0,70.27272727272727,9.623332807443585,70.0,25.838383838383837,8.501749004580116,26.0,167.36363636363637,23.15628117963895,163.0,1624.6757538150055,927.7002024936987,1562.5
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,87,1474.66796875,142.5557847666156,1463.0,4658.896484375,372.51056937072264,4654.0,75.390625,11.184266538486728,76.0,27.232421875,10.880721546099208,26.0,183.451171875,24.915621962979447,181.0,1628.8863576054573,1029.5455677202908,1428.571533203125
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,88,1298.7063037249284,238.75503492783378,1326.0,4415.967048710601,603.1134360161326,4479.0,72.05014326647564,11.869643773424551,72.0,20.26790830945559,9.803002288492788,19.0,159.5702005730659,35.758777758199265,162.0,1382.4918227537314,909.737115821266,1200.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,89,736.3165847081218,124.75201078974509,752.0,4003.175404505076,591.9759601418943,4095.0,8.501665609137056,3.0642011964967617,8.0,0.053180520304568525,0.23238539398456529,0.0,8.541362626903553,3.135114897509902,8.0,64.11745418025757,697.6044831383313,0.0
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,90,792.3482260183969,112.28499173335399,787.0,2446.6491458607097,192.8854218180508,2440.0,36.825229960578184,10.662634930642323,38.0,14.156373193166885,6.786634658419399,14.0,95.29434954007884,28.389491794431297,101.0,1573.8110697241243,1241.32651713629,1379.310302734375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,background,null,91,786.0830108505957,74.12594504080982,789.0,4129.910160103194,383.0354755992968,4168.0,8.415585401016768,2.9781778126606016,8.0,0.05964033689961302,0.24532705028682872,0.0,9.116700811897717,3.1656175987558397,9.0,73.26681385869566,740.5347594292125,0.0
