file,Roi group,Roi tags,Roi name,12C14N mean,12C14N stddev,12C14N median,area,12C22H mean,12C22H stddev,12C22H median,12C15N/12C14N mean,12C15N/12C14N stddev,12C15N/12C14N median,12C22H/12C21H mean,12C22H/12C21H stddev,12C22H/12C21H median
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,74,3564.466360856269,267.8312557599052,3577.5,654.0,1.1269113149847094,1.0890421496716804,1.0,48.265206290312136,12.396661988902968,47.50593948364258,3.1223433083350507,3.0033879624761037,2.780094623565674
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,75,3377.2957264957263,280.44781899118306,3370.0,585.0,1.2034188034188034,1.1768261547987575,1.0,49.06185897435898,13.121474189356599,48.323768615722656,3.5085156078012583,3.4010561543484172,2.9797377586364746
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,76,2630.3940959409592,603.1394805948833,2699.0,1355.0,1.1955719557195572,1.1488782762972105,1.0,63.622093675057386,18.67734512827302,62.53553009033203,3.520575794874522,3.3624069475849825,2.952465534210205
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,77,433.3374268170784,32.106876281013015,433.0,14006.0,0.6605740396972726,0.8169207072691156,0.0,37.06649083136559,29.35908798514193,25.839794158935547,1.8970908641849231,2.348530629308684,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,78,3346.704028021016,232.72480918094655,3344.0,571.0,2.7845884413309983,1.6964898634056416,3.0,99.68301563964417,18.279628098294314,99.39759063720703,7.962834618346286,4.944938243410887,7.947019577026367
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,79,2826.4293785310733,168.2019107155492,2819.0,177.0,1.1977401129943503,1.0715300658754223,1.0,53.017783148814054,14.92092913024622,52.592037200927734,3.6472587962608554,3.270367456822377,3.095975160598755
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,AT2,80,2186.183620689655,262.641397701708,2187.5,1160.0,0.8508620689655172,0.9229127923989502,1.0,61.07859129001354,17.720070100988217,60.27122116088867,3.575653749087761,3.8828689684510778,3.803004503250122
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,81,1823.5853658536585,74.51072929778506,1838.0,41.0,0.926829268292683,1.0341722270115126,1.0,93.3323861098871,20.3469073661333,93.67681121826172,4.945709309926847,5.531659727803648,5.11247444152832
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,82,1703.0,77.66938478791585,1715.5,16.0,1.125,1.02469507659596,1.0,105.96873760223389,17.93510535403132,106.05972290039062,6.7305488884449005,6.175393670817641,6.128213882446289
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,83,1633.8260869565217,69.70104553586172,1636.5,46.0,1.5,1.1105554165971787,1.0,95.0336045804231,22.050090508020563,90.65350341796875,9.665833535401717,7.290621997901877,6.63358736038208
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,lamella,null,84,1623.8857142857144,66.49671297469465,1610.0,70.0,1.5285714285714285,1.2822243871031263,1.5,102.38649853297642,25.240918467483734,98.29804992675781,9.411706951686314,7.905526750450507,8.868570327758789
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,85,430.84635922330096,30.313039848383774,430.0,8240.0,0.6858009708737864,0.836532262202756,0.0,37.65500671632081,29.507764944096127,26.3157901763916,1.9432297894098227,2.373412058230164,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,86,2995.5858585858587,239.13432354210255,2981.0,99.0,1.1414141414141414,1.00010306622032,1.0,52.21397259259465,14.014478342701823,50.55010223388672,3.3336321898181027,2.9057767296934705,2.9735355377197266
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,87,3232.09375,295.51349550806856,3244.5,512.0,1.044921875,1.061666891636203,1.0,52.717966962605715,13.830175554557641,52.12582015991211,2.878025806043297,2.940365213225376,2.673440456390381
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,88,2956.734957020057,325.2257619292351,2962.0,698.0,1.0401146131805157,1.086553256051746,1.0,54.747043993548196,14.458580687455655,53.595367431640625,2.991690368570366,3.147727125791598,2.760143518447876
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,89,506.7698683375635,60.72008167238517,516.0,25216.0,0.6000158629441624,0.7797699949593205,0.0,37.27940996751416,27.638164124115324,36.3636360168457,1.9182696962814192,2.558703847842175,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,90,1567.5584756898818,351.9094860595918,1654.0,761.0,0.633377135348226,0.7903298951122238,0.0,52.20109752913186,19.055478007187112,51.933067321777344,3.3523739151823064,4.197982265508838,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,91,501.3070794445709,44.93027958387516,505.0,13179.0,0.6274375901054708,0.7904959131422705,0.0,36.955878794107335,27.24799830649324,36.900367736816406,1.9395137099668318,2.4510687374301203,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,92,2882.9172932330825,880.9392821027443,3219.0,665.0,1.0285714285714285,0.968212505656767,1.0,50.78753439824384,14.727637180032294,50.69279861450195,2.893003069009996,2.723953723574933,2.7847397327423096
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,93,2815.699435938759,433.96799801145323,2859.0,1241.0,1.1813053988718776,1.1188294160869536,1.0,59.463425142163715,15.404633330887368,58.620689392089844,3.382821215822464,3.1930600309647246,2.9069766998291016
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,fibrosis,94,3075.05698005698,294.94783919715763,3058.5,702.0,1.8888888888888888,1.4108471839677563,2.0,82.32683078515903,16.21135380835276,82.12586975097656,5.611353813413202,4.207364482125617,5.4659743309021
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,fibrosis,95,3118.1848484848483,260.831833491311,3113.0,330.0,1.603030303030303,1.2389290523057905,1.0,68.0080520398689,15.599422379032127,66.2044677734375,4.6167528701551035,3.525583045874697,3.379659414291382
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,background,null,96,452.3569931901519,43.31167975157834,455.0,3818.0,0.5481927710843374,0.7584356668563822,0.0,37.601499465075136,28.997295411973514,35.97122573852539,1.9304614395543254,2.6742810432631234,0.0
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,97,3136.586651053864,289.87075805423683,3165.5,854.0,1.2459016393442623,1.1970854875092594,1.0,56.575135432026705,14.20925980355732,56.31669235229492,3.5617466243703695,3.4043811555076897,2.89687180519104
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,98,2831.257446808511,326.21688812824686,2875.5,470.0,0.951063829787234,1.0199235600826861,1.0,51.93444636324619,14.099069496589365,50.66657257080078,3.05928044623517,3.2496577104515487,3.118180274963379
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,99,3126.9352290679303,335.46280223620056,3080.0,633.0,1.1153238546603474,1.0781058743376368,1.0,52.87844475901334,14.115287746015845,50.98788833618164,3.0266001382710246,2.9285672255756308,2.697599172592163
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,fibrosis,100,3484.1702127659573,326.2117197533409,3502.5,470.0,1.0212765957446808,1.0177394931891535,1.0,49.851179005237334,13.515990304037821,48.7520751953125,2.941706672627875,2.9109820241875415,2.834868907928467
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,101,2755.6433566433566,628.4577075823318,3025.0,143.0,1.1818181818181819,1.1786621900521976,1.0,50.57076642896745,16.850876523903093,49.01961135864258,3.3250600641424004,3.3408079259237122,2.7746949195861816
vb_fib_1_2023-01-24_hO1c12-5028.nrrd,nuclei,airway,102,2894.875512995896,321.4693740535166,2956.0,731.0,1.5499316005471957,1.3100912320945424,1.0,70.92781736162553,16.599989790998112,70.03654479980469,4.664535704781027,3.934613078931035,3.3422460556030273
