experiment,batch,trial,condition,treatment,dose,protein,background,density
diclofenac,2,1,control,DMSO,,sma,141898396,164880
diclofenac,2,1,tgfb,DMSO,,sma,189108624,10693845
diclofenac,2,1,control,diclofenac,,sma,84410626,26010
diclofenac,2,1,tgfb,diclofenac,,sma,182710948,422865
diclofenac,2,1,control,ketoprofen,,sma,168865574,75510
diclofenac,2,1,tgfb,ketoprofen,,sma,144539916,1133955
diclofenac,2,1,control,salicylate,,sma,158760158,96705
diclofenac,2,1,tgfb,salicylate,,sma,244789694,4292550
diclofenac,2,2,control,DMSO,,sma,129321010,35640
diclofenac,2,2,tgfb,DMSO,,sma,371061418,610020
diclofenac,2,2,control,diclofenac,,sma,41110524,19485
diclofenac,2,2,tgfb,diclofenac,,sma,143345566,220815
diclofenac,2,2,control,ketoprofen,,sma,81589508,25380
diclofenac,2,2,tgfb,ketoprofen,,sma,106084342,31860
diclofenac,2,2,control,salicylate,,sma,129585638,35955
diclofenac,2,2,tgfb,salicylate,,sma,167441820,75825
diclofenac,2,4,control,DMSO,,sma,135768381,133940543
diclofenac,2,4,tgfb,DMSO,,sma,176093760,286772599
diclofenac,2,4,control,diclofenac,,sma,147335685,4991799
diclofenac,2,4,tgfb,diclofenac,,sma,190487046,1410895
diclofenac,2,4,control,ketoprofen,,sma,166749930,108851590
diclofenac,2,4,tgfb,ketoprofen,,sma,180240870,143109641
diclofenac,2,4,control,salicylate,,sma,197853963,54637927
diclofenac,2,4,tgfb,salicylate,,sma,193514277,154076250
diclofenac,2,3,control,DMSO,,sma,192008520,150160101
diclofenac,2,3,tgfb,DMSO,,sma,279579960,208602981
diclofenac,2,3,control,diclofenac,,sma,180120780,47166420
diclofenac,2,3,tgfb,diclofenac,,sma,218224800,14937558
diclofenac,2,3,control,ketoprofen,,sma,213509160,47108043
diclofenac,2,3,tgfb,ketoprofen,,sma,186034500,103218039
diclofenac,2,3,control,salicylate,,sma,223898220,78695307
diclofenac,2,3,tgfb,salicylate,,sma,203170320,50182626
diclofenac,1,1,control,DMSO,,sma,71835104,34178
diclofenac,1,1,tgfb,DMSO,,sma,49618390,9746710
diclofenac,1,1,control,diclofenac,,sma,35410786,32890
diclofenac,1,1,tgfb,diclofenac,,sma,49307424,47150
diclofenac,1,1,control,ketoprofen,,sma,46872384,52302
diclofenac,1,1,tgfb,ketoprofen,,sma,40552672,823262
diclofenac,1,1,control,salicylate,,sma,33047124,11500
diclofenac,1,1,tgfb,salicylate,,sma,46632796,677764
diclofenac,1,2,tgfb,DMSO,,sma,14067400,479964
diclofenac,1,2,control,DMSO,,sma,11567680,45218
diclofenac,1,2,tgfb,diclofenac,,sma,8922180,49634
diclofenac,1,2,control,diclofenac,,sma,13880180,33994
diclofenac,1,2,tgfb,ketoprofen,,sma,9710280,35052
diclofenac,1,2,control,ketoprofen,,sma,8639500,33258
diclofenac,1,2,tgfb,salicylate,,sma,12295470,128570
diclofenac,1,2,control,salicylate,,sma,12067920,49588
diclofenac,1,5,control,DMSO,,sma,11713536,37788
diclofenac,1,5,tgfb,DMSO,,sma,9382398,1444498
diclofenac,1,5,control,diclofenac,,sma,13628034,20727
diclofenac,1,5,tgfb,diclofenac,,sma,7087530,20069
diclofenac,1,5,control,ketoprofen,,sma,7832832,42911
diclofenac,1,5,tgfb,ketoprofen,,sma,10222188,112612
diclofenac,1,5,control,salicylate,,sma,7943502,21150
diclofenac,1,5,tgfb,salicylate,,sma,11390826,61147
sirna,1,2,control,siCTL,,sma,191396832,49648680
sirna,1,2,tgfb,siCTL,,sma,174997680,1126990980
sirna,1,2,control,siMCT1,,sma,110440528,2174040
sirna,1,2,tgfb,siMCT1,,sma,170059824,78532740
sirna,1,2,control,siMCT4,,sma,206511184,1423620
sirna,1,2,tgfb,siMCT4,,sma,133042800,382556160
sirna,1,2,control,siMCT1/4,,sma,119881520,600300
sirna,1,2,tgfb,siMCT1/4,,sma,128184496,55032840
sirna,1,3,control,siCTL,,sma,137912559,41838150
sirna,1,3,tgfb,siCTL,,sma,151538904,1364117541
sirna,1,3,control,siMCT1,,sma,203401143,31455085
sirna,1,3,tgfb,siMCT1,,sma,149678280,43055194
sirna,1,3,control,siMCT4,,sma,234736515,768164
sirna,1,3,tgfb,siMCT4,,sma,154132839,485389510
sirna,1,3,control,siMCT1/4,,sma,118605222,851967
sirna,1,3,tgfb,siMCT1/4,,sma,136301859,71319611
sirna,1,5,control,siCTL,,sma,145737410,111195180
sirna,1,5,tgfb,siCTL,,sma,200390372,2101838220
sirna,1,5,control,siMCT1,,sma,126277424,51424920
sirna,1,5,tgfb,siMCT1,,sma,157531920,20966940
sirna,1,5,control,siMCT4,,sma,333799284,619740
sirna,1,5,tgfb,siMCT4,,sma,183861132,197355420
sirna,1,5,control,siMCT1/4,,sma,257820472,1065060
sirna,1,5,tgfb,siMCT1/4,,sma,137613658,35510580
sirna,1,6,control,siCTL,,sma,99429480,2026024
sirna,1,6,tgfb,siCTL,,sma,111802680,612785992
sirna,1,6,control,siMCT1,,sma,92665620,420238
sirna,1,6,tgfb,siMCT1,,sma,81466380,20007624
sirna,1,6,control,siMCT4,,sma,95645700,201656
sirna,1,6,tgfb,siMCT4,,sma,106017480,1754116
sirna,1,6,control,siMCT1/4,,sma,66640140,480480
sirna,1,6,tgfb,siMCT1/4,,sma,127861020,207378990
sirna,1,3,control,siCTL,,mct1,126048825,433305
sirna,1,3,control,siMCT1,,mct1,169313900,150840
sirna,1,3,control,siMCT4,,mct1,117852000,366750
sirna,1,3,control,siMCT1/4,,mct1,149299850,241380
sirna,1,3,tgfb,siCTL,,mct1,148611400,232965
sirna,1,3,tgfb,siMCT1,,mct1,121399075,106650
sirna,1,3,tgfb,siMCT4,,mct1,138890150,495135
sirna,1,3,tgfb,siMCT1/4,,mct1,174074775,679680
sirna,1,3,control,siCTL,,mct4,200053440,212590872
sirna,1,3,control,siMCT1,,mct4,193560840,65243412
sirna,1,3,control,siMCT4,,mct4,198049860,1160328
sirna,1,3,control,siMCT1/4,,mct4,161995860,399672
sirna,1,3,tgfb,siMCT1/4,,mct4,177141780,309660
sirna,1,3,tgfb,siMCT4,,mct4,121999500,418860
sirna,1,3,tgfb,siMCT1,,mct4,227051820,13685100
sirna,1,3,tgfb,siCTL,,mct4,223306740,419731728
sirna,1,4,control,siCTL,,mct1,158421060,185152
sirna,1,4,control,siMCT1,,mct1,269594280,58212
sirna,1,4,control,siMCT4,,mct1,209261700,160160
sirna,1,4,control,siMCT1/4,,mct1,281655720,34364
sirna,1,4,tgfb,siCTL,,mct1,210224520,75724
sirna,1,4,tgfb,siMCT1,,mct1,138897360,37532
sirna,1,4,tgfb,siMCT4,,mct1,198028620,70884
sirna,1,4,tgfb,siMCT1/4,,mct1,230001120,35552
sirna,1,4,control,siCTL,,mct4,114304554,360875712
sirna,1,4,control,siMCT1,,mct4,112882770,290784030
sirna,1,4,control,siMCT4,,mct4,140299614,337404
sirna,1,4,control,siMCT1/4,,mct4,114814154,440076
sirna,1,4,tgfb,siCTL,,mct4,99829002,470876856
sirna,1,4,tgfb,siMCT1,,mct4,170612624,39050886
sirna,1,4,tgfb,siMCT4,,mct4,144693276,394692
sirna,1,4,tgfb,siMCT1/4,,mct4,178724546,445842
sirna,1,5,control,siCTL,,mct1,570973448,181035
sirna,1,5,control,siMCT1,,mct1,533801174,40860
sirna,1,5,control,siMCT4,,mct1,594808360,242550
sirna,1,5,control,siMCT1/4,,mct1,660673344,12690
sirna,1,5,tgfb,siCTL,,mct1,685048486,568260
sirna,1,5,tgfb,siMCT1,,mct1,598837390,53100
sirna,1,5,tgfb,siMCT4,,mct1,581356722,112635
sirna,1,5,tgfb,siMCT1/4,,mct1,795189190,28080
sirna,1,5,control,siCTL,,mct4,115816610,432906
sirna,1,5,control,siMCT1,,mct4,119004522,79902
sirna,1,5,control,siMCT4,,mct4,187028296,10894
sirna,1,5,control,siMCT1/4,,mct4,144669798,4002
sirna,1,5,tgfb,siCTL,,mct4,134099056,3625674
sirna,1,5,tgfb,siMCT1,,mct4,153206326,664516
sirna,1,5,tgfb,siMCT4,,mct4,133083496,4784
sirna,1,5,tgfb,siMCT1/4,,mct4,126386988,32292
sirna,1,6,control,siCTL,,mct1,159830176,15299100
sirna,1,6,control,siMCT1,,mct1,108813584,10890
sirna,1,6,control,siMCT4,,mct1,87842480,4351950
sirna,1,6,control,siMCT1/4,,mct1,112934272,103905
sirna,1,6,tgfb,siCTL,,mct1,100709312,23053365
sirna,1,6,tgfb,siMCT1,,mct1,123936032,27675
sirna,1,6,tgfb,siMCT4,,mct1,58722048,12918555
sirna,1,6,tgfb,siMCT1/4,,mct1,141942240,4121865
sirna,1,6,control,siCTL,,mct4,159830176,23544900
sirna,1,6,control,siMCT1,,mct4,108813584,6479685
sirna,1,6,control,siMCT4,,mct4,87842480,47070
sirna,1,6,control,siMCT1/4,,mct4,112934272,77130
sirna,1,6,tgfb,siCTL,,mct4,100709312,19494900
sirna,1,6,tgfb,siMCT1,,mct4,123936032,6789330
sirna,1,6,tgfb,siMCT4,,mct4,58722048,18225
sirna,1,6,tgfb,siMCT1/4,,mct4,141942240,298170
ar,1,3,control,DMSO,,sma,208593088,10485
ar,1,3,tgfb,DMSO,,sma,139864208,363330
ar,1,3,control,AR-C155858,low,sma,101251040,17235
ar,1,3,tgfb,AR-C155858,low,sma,150938832,195165
ar,1,4,control,DMSO,,sma,179135792,16920
ar,1,4,tgfb,DMSO,,sma,197209056,6720165
ar,1,4,control,AR-C155858,low,sma,307337712,18135
ar,1,4,tgfb,AR-C155858,low,sma,223800192,11755125
ar,1,5,control,DMSO,,sma,163935718,7470
ar,1,5,tgfb,DMSO,,sma,126051621,10449900
ar,1,5,control,AR-C155858,low,sma,110443358,12510
ar,1,5,tgfb,AR-C155858,low,sma,99358962,349380
ar,1,6,control,DMSO,,sma,78885479,3240
ar,1,6,tgfb,DMSO,,sma,121412657,1440135
ar,1,6,tgfb,AR-C155858,low,sma,176228722,264645
ar,1,6,control,AR-C155858,low,sma,224485511,6210
dual,1,5,control,DMSO,,sma,154661584,23580
dual,1,5,tgfb,DMSO,,sma,175373616,8558775
dual,1,5,control,AR-C155858,high,sma,149778992,32715
dual,1,5,tgfb,AR-C155858,high,sma,152213952,4509045
dual,1,5,control,VB124,high,sma,169878720,38565
dual,1,5,tgfb,VB124,high,sma,157471248,9052875
dual,1,5,control,AR/VB,high,sma,246513872,157860
dual,1,5,tgfb,AR/VB,high,sma,223029664,8557560
dual,1,6,control,DMSO,,sma,261057386,408540
dual,1,6,tgfb,DMSO,,sma,241717174,18388436
dual,1,6,control,AR-C155858,high,sma,241247660,88748
dual,1,6,tgfb,AR-C155858,high,sma,224338640,8968256
dual,1,6,control,VB124,high,sma,180079072,496276
dual,1,6,tgfb,VB124,high,sma,184728057,5271200
dual,1,6,control,AR/VB,high,sma,195290312,677424
dual,1,6,tgfb,AR/VB,high,sma,144595651,1334740
dual,1,7,control,DMSO,,sma,265191843,987300
dual,1,7,tgfb,DMSO,,sma,266644128,12877245
dual,1,7,control,AR-C155858,high,sma,249995685,860085
dual,1,7,tgfb,AR-C155858,high,sma,250331277,11632095
dual,1,7,control,VB124,high,sma,265427784,553770
dual,1,7,tgfb,VB124,high,sma,263095455,5455170
dual,1,7,control,AR/VB,high,sma,291887160,1753515
dual,1,7,tgfb,AR/VB,high,sma,317133732,14072445
dual,2,2,control,DMSO,,sma,549142680,1767504
dual,2,2,tgfb,DMSO,,sma,648725778,17245906
dual,2,2,control,AZD3965,,sma,595560282,1238734
dual,2,2,tgfb,AZD3965,,sma,525473994,10061212
dual,2,2,control,VB124,,sma,527357058,575644
dual,2,2,tgfb,VB124,,sma,619443240,5314196
dual,2,2,control,AZD/VB,,sma,504590472,496248
dual,2,2,tgfb,AZD/VB,,sma,519056994,290490
dual,2,3,control,DMSO,,sma,431701134,839316
dual,2,3,tgfb,DMSO,,sma,511006854,18610036
dual,2,3,control,AZD3965,,sma,563922864,860568
dual,2,3,tgfb,AZD3965,,sma,669536862,13694016
dual,2,3,control,VB124,,sma,508063296,527436
dual,2,3,tgfb,VB124,,sma,416139096,11020266
dual,2,3,control,AZD/VB,,sma,646655514,668610
dual,2,3,tgfb,AZD/VB,,sma,710312892,3350916
dual,2,4,control,DMSO,,sma,761817027,601515
dual,2,4,tgfb,DMSO,,sma,615573963,17206785
dual,2,4,control,AZD3965,,sma,545793306,303660
dual,2,4,tgfb,AZD3965,,sma,632312322,12903705
dual,2,4,control,VB124,,sma,517507290,23265
dual,2,4,tgfb,VB124,,sma,508699947,17228430
dual,2,4,control,AZD/VB,,sma,794746638,552375
dual,2,4,tgfb,AZD/VB,,sma,784589139,16792335
dual,2,6,control,DMSO,,sma,448761198,3082
dual,2,6,tgfb,DMSO,,sma,529117428,3100400
dual,2,6,control,AZD3965,,sma,513884454,3956
dual,2,6,tgfb,AZD3965,,sma,500307138,189566
dual,2,6,control,VB124,,sma,580643898,3404
dual,2,6,tgfb,VB124,,sma,562784598,423936
dual,2,6,control,AZD/VB,,sma,606523776,2852
dual,2,6,tgfb,AZD/VB,,sma,443478279,41078
untreated,1,1,control,none,,mct4,211411566,11995425
untreated,1,1,tgfb,none,,mct4,292980156,11137500
untreated,1,2,control,none,,mct4,361206252,3999780
untreated,1,2,tgfb,none,,mct4,296071788,7132545
untreated,1,3,control,none,,mct4,277511382,7905510
untreated,1,3,tgfb,none,,mct4,294867186,12307365
untreated,1,4,control,none,,mct4,232306008,3982635
untreated,1,4,tgfb,none,,mct4,274109682,7561125
untreated,1,1,control,none,,sma,183871306,29164
untreated,1,1,tgfb,none,,sma,160729470,9616806
untreated,1,2,control,none,,sma,219675423,49496
untreated,1,2,tgfb,none,,sma,335198085,20704738
untreated,1,3,control,none,,sma,200465501,18032
untreated,1,3,tgfb,none,,sma,245307328,533186
untreated,1,4,control,none,,sma,232597254,17848
untreated,1,4,tgfb,none,,sma,311168409,14522476
ipf,1,1,control,none,,sma,275273262,6856484
ipf,1,1,control,none,,sma,200812590,1058690
ipf,1,1,control,none,,sma,287544019,8153454
ipf,1,1,ipf,none,,sma,230460825,17460054
ipf,1,1,ipf,none,,sma,401222105,12925990
ipf,1,1,ipf,none,,sma,254893929,21334626
ipf,1,1,control,none,,mct1,323444454,10031182
ipf,1,1,control,none,,mct1,232417367,5737459
ipf,1,1,control,none,,mct1,270738272,8109348
ipf,1,1,ipf,none,,mct1,212372766,14213328
ipf,1,1,ipf,none,,mct1,314348265,24994704
ipf,1,1,ipf,none,,mct1,307819336,32367870
ipf,1,1,control,none,,mct4,328571490,1004410
ipf,1,1,control,none,,mct4,240965070,444498
ipf,1,1,control,none,,mct4,351815807,3788376
ipf,1,1,ipf,none,,mct4,306880552,5463172
ipf,1,1,ipf,none,,mct4,410879788,27734460
ipf,1,1,ipf,none,,mct4,383696880,17101500
dual,3,4,control,DMSO,,lactylk,114073414,95275260
dual,3,4,tgfb,DMSO,,lactylk,131852994,106281675
dual,3,4,control,AZD3965,,lactylk,96268900,75813795
dual,3,4,tgfb,AZD3965,,lactylk,114301824,93006135
dual,3,4,control,VB124,,lactylk,88300030,64359315
dual,3,4,tgfb,VB124,,lactylk,132462512,74099025
dual,3,4,control,AZD/VB,,lactylk,98020286,66936960
dual,3,4,tgfb,AZD/VB,,lactylk,154755328,125589960
dual,3,1,control,DMSO,,lactylk,186289791,132830550
dual,3,1,tgfb,DMSO,,lactylk,188104236,96086700
dual,3,1,control,AZD3965,,lactylk,259339182,129310110
dual,3,1,tgfb,AZD3965,,lactylk,145763343,88185015
dual,3,1,control,VB124,,lactylk,186782976,110606670
dual,3,1,tgfb,VB124,,lactylk,193148814,119361060
dual,3,1,control,AZD/VB,,lactylk,276962631,134941500
dual,3,1,tgfb,AZD/VB,,lactylk,205442937,131632200
dual,3,2,control,DMSO,,lactylk,196741080,95677648
dual,3,2,tgfb,DMSO,,lactylk,273083400,100922316
dual,3,2,control,AZD3965,,lactylk,226659600,89075536
dual,3,2,tgfb,AZD3965,,lactylk,273519360,100243968
dual,3,2,control,VB124,,lactylk,256255740,87982664
dual,3,2,tgfb,VB124,,lactylk,234981180,77048180
dual,3,2,control,AZD/VB,,lactylk,196293420,126971592
dual,3,2,tgfb,AZD/VB,,lactylk,208465920,136593556
dual,3,1,control,DMSO,,psmad3,2279662020,1061900
dual,3,1,tgfb,DMSO,,psmad3,2600621820,357384665
dual,3,1,control,AZD3965,,psmad3,2261233800,686535
dual,3,1,tgfb,AZD3965,,psmad3,2523689820,379226135
dual,3,1,control,VB124,,psmad3,2430155700,3236020
dual,3,1,tgfb,VB124,,psmad3,2177578800,392098435
dual,3,1,control,AZD/VB,,psmad3,3061580580,8875190
dual,3,1,tgfb,AZD/VB,,psmad3,2952246960,282638190
dual,3,1,control,DMSO,,perk,1275573552,3156842
dual,3,1,tgfb,DMSO,,perk,1539628640,9846852
dual,3,1,control,AZD3965,,perk,1770153088,5965142
dual,3,1,tgfb,AZD3965,,perk,1643291760,15096004
dual,3,1,control,VB124,,perk,1768493408,4733906
dual,3,1,tgfb,VB124,,perk,1686296656,13255452
dual,3,1,control,AZD/VB,,perk,1858994544,5408358
dual,3,1,tgfb,AZD/VB,,perk,2034905664,33885118
dual,3,1,control,DMSO,,erk,1275573552,22151438
dual,3,1,tgfb,DMSO,,erk,1539628640,14891626
dual,3,1,control,AZD3965,,erk,1770153088,22437374
dual,3,1,tgfb,AZD3965,,erk,1643291760,16261874
dual,3,1,control,VB124,,erk,1768493408,21760484
dual,3,1,tgfb,VB124,,erk,1686296656,18070594
dual,3,1,control,AZD/VB,,erk,1858994544,26652998
dual,3,1,tgfb,AZD/VB,,erk,2034905664,29971116
dual,3,1,control,DMSO,,ampk,3142093914,7503750
dual,3,1,tgfb,DMSO,,ampk,2439281740,206145
dual,3,1,control,AZD3965,,ampk,2511202818,1777275
dual,3,1,tgfb,AZD3965,,ampk,2305190424,42930
dual,3,1,control,VB124,,ampk,2456423318,1184175
dual,3,1,tgfb,VB124,,ampk,2418029608,289440
dual,3,1,control,AZD/VB,,ampk,2972090742,2459205
dual,3,1,tgfb,AZD/VB,,ampk,2796037172,5225625
dual,3,1,control,DMSO,,sma,3142093914,8100
dual,3,1,tgfb,DMSO,,sma,2439281740,10004490
dual,3,1,control,AZD3965,,sma,2511202818,17775
dual,3,1,tgfb,AZD3965,,sma,2305190424,4016925
dual,3,1,control,VB124,,sma,2456423318,13140
dual,3,1,tgfb,VB124,,sma,2418029608,4951350
dual,3,1,control,AZD/VB,,sma,2972090742,11430
dual,3,1,tgfb,AZD/VB,,sma,2796037172,8826255
dual,3,1,control,DMSO,,pampk,3389427360,271450
dual,3,1,tgfb,DMSO,,pampk,2792198112,6100950
dual,3,1,control,AZD3965,,pampk,2927641376,649700
dual,3,1,tgfb,AZD3965,,pampk,2842225232,5704544
dual,3,1,control,VB124,,pampk,2869388896,579390
dual,3,1,tgfb,VB124,,pampk,2718001792,10520334
dual,3,1,control,AZD/VB,,pampk,3042752240,564616
dual,3,1,tgfb,AZD/VB,,pampk,2981214720,22645694
dual,3,2,control,DMSO,,ampk,2179541884,6265665
dual,3,2,tgfb,DMSO,,ampk,2207122928,3241125
dual,3,2,control,AZD3965,,ampk,2387894261,3377700
dual,3,2,tgfb,AZD3965,,ampk,2058884591,1283400
dual,3,2,control,VB124,,ampk,1901452515,999855
dual,3,2,tgfb,VB124,,ampk,2177659125,562815
dual,3,2,control,AZD/VB,,ampk,2317161481,2467845
dual,3,2,tgfb,AZD/VB,,ampk,2459447061,3273615
dual,3,2,control,DMSO,,sma,2179541884,14766
dual,3,2,tgfb,DMSO,,sma,2207122928,7002948
dual,3,2,control,AZD3965,,sma,2387894261,10534
dual,3,2,tgfb,AZD3965,,sma,2058884591,676108
dual,3,2,control,VB124,,sma,1901452515,14168
dual,3,2,tgfb,VB124,,sma,2177659125,10654060
dual,3,2,control,AZD/VB,,sma,2317161481,39100
dual,3,2,tgfb,AZD/VB,,sma,2459447061,5601466
dual,3,2,control,DMSO,,erk,646195702,20798685
dual,3,2,tgfb,DMSO,,erk,660448547,18686070
dual,3,2,control,AZD3965,,erk,555662760,17031690
dual,3,2,tgfb,AZD3965,,erk,694169571,12790755
dual,3,2,control,VB124,,erk,690507579,15435855
dual,3,2,tgfb,VB124,,erk,579621187,11539845
dual,3,2,control,AZD/VB,,erk,455087938,15774390
dual,3,2,tgfb,AZD/VB,,erk,734610220,22357035
dual,3,2,control,DMSO,,pampk,2601166204,440115
dual,3,2,tgfb,DMSO,,pampk,2218723159,143655366
dual,3,2,control,AZD3965,,pampk,2129644733,41093565
dual,3,2,tgfb,AZD3965,,pampk,2128376466,95162562
dual,3,2,control,VB124,,pampk,2158869717,29311476
dual,3,2,tgfb,VB124,,pampk,1967040487,196344726
dual,3,2,control,AZD/VB,,pampk,2019096811,44604054
dual,3,2,tgfb,AZD/VB,,pampk,2756502395,228990828
dual,3,2,control,DMSO,,perk,646195702,25275804
dual,3,2,tgfb,DMSO,,perk,660448547,28511996
dual,3,2,control,AZD3965,,perk,555662760,21975488
dual,3,2,tgfb,AZD3965,,perk,694169571,25076486
dual,3,2,control,VB124,,perk,690507579,5547462
dual,3,2,tgfb,VB124,,perk,579621187,13671292
dual,3,2,control,AZD/VB,,perk,455087938,8795844
dual,3,2,tgfb,AZD/VB,,perk,734610220,21190222
dual,3,2,control,DMSO,,psmad3,656301420,31346394
dual,3,2,tgfb,DMSO,,psmad3,726876620,175546428
dual,3,2,control,AZD3965,,psmad3,607330428,19185900
dual,3,2,tgfb,AZD3965,,psmad3,829017396,150182166
dual,3,2,control,VB124,,psmad3,547397156,21266310
dual,3,2,tgfb,VB124,,psmad3,696814292,145273440
dual,3,2,control,AZD/VB,,psmad3,625444040,9583278
dual,3,2,tgfb,AZD/VB,,psmad3,619359044,36283392
dual,3,3,control,DMSO,,erk,464256000,16747344
dual,3,3,tgfb,DMSO,,erk,547960320,4638624
dual,3,3,control,AZD3965,,erk,475608576,4650048
dual,3,3,tgfb,AZD3965,,erk,547355136,1662768
dual,3,3,control,VB124,,erk,527238720,6056928
dual,3,3,tgfb,VB124,,erk,411490560,1804800
dual,3,3,control,AZD/VB,,erk,485555328,9518736
dual,3,3,tgfb,AZD/VB,,erk,796514880,10492752
dual,3,3,control,DMSO,,perk,464256000,24977760
dual,3,3,tgfb,DMSO,,perk,547960320,14269440
dual,3,3,control,AZD3965,,perk,475608576,16923216
dual,3,3,tgfb,AZD3965,,perk,547355136,14103216
dual,3,3,control,VB124,,perk,527238720,15265008
dual,3,3,tgfb,VB124,,perk,411490560,9867792
dual,3,3,control,AZD/VB,,perk,485555328,17743488
dual,3,3,tgfb,AZD/VB,,perk,796514880,17345088
dual,3,3,control,DMSO,,ampk,653330496,7240722
dual,3,3,tgfb,DMSO,,ampk,614412890,3858802
dual,3,3,control,AZD3965,,ampk,456316770,3605756
dual,3,3,tgfb,AZD3965,,ampk,624452374,773352
dual,3,3,control,VB124,,ampk,596744148,2870446
dual,3,3,tgfb,VB124,,ampk,577124366,1114534
dual,3,3,control,AZD/VB,,ampk,658758464,3273912
dual,3,3,tgfb,AZD/VB,,ampk,814777782,2424660
dual,3,3,control,DMSO,,pampk,512207963,19136
dual,3,3,tgfb,DMSO,,pampk,692795156,1203544
dual,3,3,control,AZD3965,,pampk,499112502,35282
dual,3,3,tgfb,AZD3965,,pampk,524131869,2630050
dual,3,3,control,VB124,,pampk,767117209,23184
dual,3,3,tgfb,VB124,,pampk,609394223,123326
dual,3,3,control,AZD/VB,,pampk,590011387,31372
dual,3,3,tgfb,AZD/VB,,pampk,732315134,5105402
dual,3,3,control,DMSO,,psmad3,2161310580,919080
dual,3,3,tgfb,DMSO,,psmad3,1719056340,116036472
dual,3,3,control,AZD3965,,psmad3,1291504680,573160
dual,3,3,tgfb,AZD3965,,psmad3,1401659820,47085232
dual,3,3,control,VB124,,psmad3,1302889500,940240
dual,3,3,tgfb,VB124,,psmad3,1737274140,80892656
dual,3,3,control,AZD/VB,,psmad3,1675302120,913928
dual,3,3,tgfb,AZD/VB,,psmad3,1908635220,34758888
dual,3,4,control,DMSO,,erk,2311639364,23177008
dual,3,4,tgfb,DMSO,,erk,2501967822,8036890
dual,3,4,control,AZD3965,,erk,2102424216,11186464
dual,3,4,tgfb,AZD3965,,erk,1836194600,2236704
dual,3,4,control,VB124,,erk,2307366118,13359504
dual,3,4,tgfb,VB124,,erk,1793616822,3259698
dual,3,4,control,AZD/VB,,erk,2408256162,14912510
dual,3,4,tgfb,AZD/VB,,erk,2931690260,10607738
dual,3,4,control,DMSO,,perk,2311639364,26882078
dual,3,4,tgfb,DMSO,,perk,2501967822,21370082
dual,3,4,control,AZD3965,,perk,2102424216,10688238
dual,3,4,tgfb,AZD3965,,perk,1836194600,20255318
dual,3,4,control,VB124,,perk,2307366118,8244672
dual,3,4,tgfb,VB124,,perk,1793616822,16434558
dual,3,4,control,AZD/VB,,perk,2408256162,14705832
dual,3,4,tgfb,AZD/VB,,perk,2931690260,18796566
dual,3,4,control,DMSO,,ampk,1120292280,1446700
dual,3,4,tgfb,DMSO,,ampk,817008120,287224
dual,3,4,control,AZD3965,,ampk,816155460,1165318
dual,3,4,tgfb,AZD3965,,ampk,823684680,84088
dual,3,4,control,VB124,,ampk,838849140,1377516
dual,3,4,tgfb,VB124,,ampk,857208600,77464
dual,3,4,control,AZD/VB,,ampk,867156840,706560
dual,3,4,tgfb,AZD/VB,,ampk,1010460780,2348438
dual,3,4,control,DMSO,,pampk,546476544,45181422
dual,3,4,tgfb,DMSO,,pampk,413883264,22917708
dual,3,4,control,AZD3965,,pampk,355843392,34061148
dual,3,4,tgfb,AZD3965,,pampk,364826304,26473194
dual,3,4,control,VB124,,pampk,405638976,25369146
dual,3,4,tgfb,VB124,,pampk,519124800,64787580
dual,3,4,control,AZD/VB,,pampk,588276288,189661626
dual,3,4,tgfb,AZD/VB,,pampk,815650560,536315076
dual,3,4,control,DMSO,,psmad3,409244825,14000503
dual,3,4,tgfb,DMSO,,psmad3,521588254,373585982
dual,3,4,control,AZD3965,,psmad3,425148614,20928853
dual,3,4,tgfb,AZD3965,,psmad3,425692597,399576177
dual,3,4,control,VB124,,psmad3,608823567,65204843
dual,3,4,tgfb,VB124,,psmad3,648509829,459680408
dual,3,4,control,AZD/VB,,psmad3,553047451,35826582
dual,3,4,tgfb,AZD/VB,,psmad3,582603923,380472257
dual,4,1,control,DMSO,,col1a1,427709392,92424144
dual,4,1,tgfb,DMSO,,col1a1,531577200,155172057
dual,4,1,control,AZD3965,,col1a1,456312912,65008146
dual,4,1,tgfb,AZD3965,,col1a1,545124096,341554554
dual,4,1,control,VB124,,col1a1,465078240,91757906
dual,4,1,tgfb,VB124,,col1a1,449751280,222565557
dual,4,1,control,AZD/VB,,col1a1,612558144,39493665
dual,4,1,tgfb,AZD/VB,,col1a1,750388320,246895953
dual,4,1,control,DMSO,,mct4,427709392,5411721
dual,4,1,tgfb,DMSO,,mct4,531577200,17655550
dual,4,1,control,AZD3965,,mct4,456312912,5410452
dual,4,1,tgfb,AZD3965,,mct4,545124096,15904612
dual,4,1,control,VB124,,mct4,465078240,8508081
dual,4,1,tgfb,VB124,,mct4,449751280,11770210
dual,4,1,control,AZD/VB,,mct4,612558144,7906387
dual,4,1,tgfb,AZD/VB,,mct4,750388320,22096533
dual,4,1,control,DMSO,,mct1,427709392,11396450
dual,4,1,tgfb,DMSO,,mct1,531577200,33915600
dual,4,1,control,AZD3965,,mct1,456312912,12528600
dual,4,1,tgfb,AZD3965,,mct1,545124096,28080100
dual,4,1,control,VB124,,mct1,465078240,13994350
dual,4,1,tgfb,VB124,,mct1,449751280,17378250
